"country";"actor";"mechanism";"source_id";"legal_anchor_type";"anchor_strength"
"Costa Rica";"TSE";"political_parties";"CRC-CE";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"political_parties";"CRC-CE";"statutory";"4"
"Costa Rica";"TSE";"electoral_remedies";"CRC-CE";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"electoral_remedies";"CRC-CE";"statutory";"4"
"Costa Rica";"TSE";"electoral_authority_internal_governance";"CRC-CE";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"electoral_authority_internal_governance";"CRC-CE";"statutory";"4"
"Costa Rica";"TSE";"vote";"CRC-CE";"statutory";"4"
"Costa Rica";"Registro_Civil";"vote";"CRC-CE";"statutory";"4"
"Costa Rica";"Juntas_Electorales";"vote";"CRC-CE";"statutory";"4"
"Costa Rica";"Registro_Civil";"electoral_authority_internal_governance";"CRC-CE";"statutory";"4"
"Costa Rica";"Juntas_Electorales";"electoral_authority_internal_governance";"CRC-CE";"statutory";"4"
"Costa Rica";"TSE";"civil_registry_electoral_functions";"CRC-CE";"statutory";"4"
"Costa Rica";"Registro_Civil";"civil_registry_electoral_functions";"CRC-CE";"statutory";"4"
"Costa Rica";"Juntas_Electorales";"civil_registry_electoral_functions";"CRC-CE";"statutory";"4"
"Costa Rica";"Ciudadanos";"vote";"CRC-CE";"statutory";"4"
"Costa Rica";"Ciudadanos";"electoral_authority_internal_governance";"CRC-CE";"statutory";"4"
"Costa Rica";"Ciudadanos";"civil_registry_electoral_functions";"CRC-CE";"statutory";"4"
"Costa Rica";"TSE";"right_to_stand_for_election";"CRC-CE";"statutory";"4"
"Costa Rica";"Registro_Civil";"right_to_stand_for_election";"CRC-CE";"statutory";"4"
"Costa Rica";"Corte_Suprema";"vote";"CRC-CE";"statutory";"4"
"Costa Rica";"Corte_Suprema";"electoral_authority_internal_governance";"CRC-CE";"statutory";"4"
"Costa Rica";"Corte_Suprema";"civil_registry_electoral_functions";"CRC-CE";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"vote";"CRC-CE";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"vote";"CRC-CE";"statutory";"4"
"Costa Rica";"Registro_Civil";"political_parties";"CRC-CE";"statutory";"4"
"Costa Rica";"Juntas_Electorales";"political_parties";"CRC-CE";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"political_parties";"CRC-CE";"statutory";"4"
"Costa Rica";"Ciudadanos";"political_parties";"CRC-CE";"statutory";"4"
"Costa Rica";"Registro_Civil";"electoral_remedies";"CRC-CE";"statutory";"4"
"Costa Rica";"Juntas_Electorales";"electoral_remedies";"CRC-CE";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"electoral_remedies";"CRC-CE";"statutory";"4"
"Costa Rica";"Ciudadanos";"electoral_remedies";"CRC-CE";"statutory";"4"
"Costa Rica";"TSE";"constitutional_remedies";"CRC-CE";"statutory";"4"
"Costa Rica";"Registro_Civil";"constitutional_remedies";"CRC-CE";"statutory";"4"
"Costa Rica";"Juntas_Electorales";"constitutional_remedies";"CRC-CE";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"constitutional_remedies";"CRC-CE";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"constitutional_remedies";"CRC-CE";"statutory";"4"
"Costa Rica";"Ciudadanos";"constitutional_remedies";"CRC-CE";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"electoral_authority_internal_governance";"CRC-CE";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"civil_registry_electoral_functions";"CRC-CE";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"civil_registry_electoral_functions";"CRC-CE";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"vote";"CRC-CE";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"electoral_authority_internal_governance";"CRC-CE";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"right_to_stand_for_election";"CRC-CE";"statutory";"4"
"Costa Rica";"TSE";"transparency_and_accountability";"CRC-CE";"statutory";"4"
"Costa Rica";"Juntas_Electorales";"transparency_and_accountability";"CRC-CE";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"political_parties";"CRC-CE";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"transparency_and_accountability";"CRC-CE";"statutory";"4"
"Costa Rica";"TSE";"legislative_petition_or_participation";"CRC-CE";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"legislative_petition_or_participation";"CRC-CE";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"transparency_and_accountability";"CRC-CE";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"vote";"CRC-CE";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"political_parties";"CRC-CE";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"electoral_authority_internal_governance";"CRC-CE";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"electoral_remedies";"CRC-CE";"statutory";"4"
"Costa Rica";"Corte_Suprema";"political_parties";"CRC-CE";"statutory";"4"
"Costa Rica";"Ciudadanos";"transparency_and_accountability";"CRC-CE";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"right_to_stand_for_election";"CRC-CE";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"transparency_and_accountability";"CRC-CE";"statutory";"4"
"Costa Rica";"Juntas_Electorales";"right_to_stand_for_election";"CRC-CE";"statutory";"4"
"Costa Rica";"Ciudadanos";"right_to_stand_for_election";"CRC-CE";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"right_to_stand_for_election";"CRC-CE";"statutory";"4"
"Costa Rica";"TSE";"referendum";"CRC-CE";"statutory";"4"
"Costa Rica";"Registro_Civil";"referendum";"CRC-CE";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"referendum";"CRC-CE";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"referendum";"CRC-CE";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"referendum";"CRC-CE";"statutory";"4"
"Costa Rica";"Registro_Civil";"transparency_and_accountability";"CRC-CE";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"civil_registry_electoral_functions";"CRC-CE";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"civil_registry_electoral_functions";"CRC-CE";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"vote";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"TSE";"vote";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"TSE";"electoral_authority_internal_governance";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Corte_Suprema";"electoral_authority_internal_governance";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Registro_Civil";"civil_registry_electoral_functions";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Ciudadanos";"citizen_initiative";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Ciudadanos";"vote";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Registro_Civil";"vote";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Juntas_Electorales";"vote";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Juntas_Electorales";"civil_registry_electoral_functions";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Ciudadanos";"civil_registry_electoral_functions";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Partidos_Politicos";"political_parties";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Partidos_Politicos";"vote";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Poder_Ejecutivo";"vote";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Asamblea_Legislativa";"political_parties";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Poder_Ejecutivo";"political_parties";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Asamblea_Legislativa";"transparency_and_accountability";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Partidos_Politicos";"transparency_and_accountability";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Poder_Ejecutivo";"transparency_and_accountability";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Asamblea_Legislativa";"electoral_authority_internal_governance";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"TSE";"political_parties";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Ciudadanos";"political_parties";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Partidos_Politicos";"electoral_authority_internal_governance";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Ciudadanos";"electoral_authority_internal_governance";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Poder_Ejecutivo";"electoral_authority_internal_governance";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Registro_Civil";"electoral_remedies";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Juntas_Electorales";"electoral_remedies";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"TSE";"electoral_remedies";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Registro_Civil";"electoral_authority_internal_governance";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"TSE";"civil_registry_electoral_functions";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Ciudadanos";"electoral_remedies";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Asamblea_Legislativa";"referendum";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Asamblea_Legislativa";"right_to_stand_for_election";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Poder_Ejecutivo";"legislative_petition_or_participation";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Corte_Suprema";"legislative_petition_or_participation";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Asamblea_Legislativa";"legislative_petition_or_participation";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Partidos_Politicos";"right_to_stand_for_election";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Poder_Ejecutivo";"right_to_stand_for_election";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Partidos_Politicos";"referendum";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Poder_Ejecutivo";"referendum";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Partidos_Politicos";"legislative_petition_or_participation";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Corte_Suprema";"civil_registry_electoral_functions";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Ciudadanos";"right_to_stand_for_election";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Ciudadanos";"referendum";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Corte_Suprema";"vote";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Corte_Suprema";"right_to_stand_for_election";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Sala_Constitucional";"vote";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"TSE";"constitutional_remedies";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Sala_Constitucional";"constitutional_remedies";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Asamblea_Legislativa";"constitutional_remedies";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Poder_Ejecutivo";"constitutional_remedies";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Corte_Suprema";"constitutional_remedies";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"Sala_Constitucional";"electoral_authority_internal_governance";"CRC-CPOL";"constitutional";"5"
"Costa Rica";"TSE";"vote";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Registro_Civil";"vote";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"vote";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Ciudadanos";"vote";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"TSE";"citizen_initiative";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Registro_Civil";"citizen_initiative";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"citizen_initiative";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Ciudadanos";"citizen_initiative";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"TSE";"referendum";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Registro_Civil";"referendum";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"referendum";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Ciudadanos";"referendum";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"TSE";"consultative_referendum_or_preliminary_consultation";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Registro_Civil";"consultative_referendum_or_preliminary_consultation";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"consultative_referendum_or_preliminary_consultation";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Ciudadanos";"consultative_referendum_or_preliminary_consultation";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"TSE";"constitutional_remedies";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Registro_Civil";"constitutional_remedies";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"constitutional_remedies";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Ciudadanos";"constitutional_remedies";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"TSE";"electoral_authority_internal_governance";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Registro_Civil";"electoral_authority_internal_governance";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"electoral_authority_internal_governance";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Ciudadanos";"electoral_authority_internal_governance";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"TSE";"civil_registry_electoral_functions";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Registro_Civil";"civil_registry_electoral_functions";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"civil_registry_electoral_functions";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Ciudadanos";"civil_registry_electoral_functions";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"vote";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"vote";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"citizen_initiative";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"citizen_initiative";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"referendum";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"referendum";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"TSE";"legislative_petition_or_participation";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"legislative_petition_or_participation";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"legislative_petition_or_participation";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"electoral_authority_internal_governance";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"electoral_authority_internal_governance";"CRC-LCPREF";"statutory";"4"
"Costa Rica";"Registro_Civil";"vote";"CRC-LIP";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"vote";"CRC-LIP";"statutory";"4"
"Costa Rica";"Ciudadanos";"vote";"CRC-LIP";"statutory";"4"
"Costa Rica";"Registro_Civil";"citizen_initiative";"CRC-LIP";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"citizen_initiative";"CRC-LIP";"statutory";"4"
"Costa Rica";"Ciudadanos";"citizen_initiative";"CRC-LIP";"statutory";"4"
"Costa Rica";"Registro_Civil";"legislative_petition_or_participation";"CRC-LIP";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"legislative_petition_or_participation";"CRC-LIP";"statutory";"4"
"Costa Rica";"Ciudadanos";"legislative_petition_or_participation";"CRC-LIP";"statutory";"4"
"Costa Rica";"Registro_Civil";"civil_registry_electoral_functions";"CRC-LIP";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"civil_registry_electoral_functions";"CRC-LIP";"statutory";"4"
"Costa Rica";"Ciudadanos";"civil_registry_electoral_functions";"CRC-LIP";"statutory";"4"
"Costa Rica";"TSE";"vote";"CRC-LIP";"statutory";"4"
"Costa Rica";"TSE";"citizen_initiative";"CRC-LIP";"statutory";"4"
"Costa Rica";"TSE";"legislative_petition_or_participation";"CRC-LIP";"statutory";"4"
"Costa Rica";"TSE";"electoral_authority_internal_governance";"CRC-LIP";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"electoral_authority_internal_governance";"CRC-LIP";"statutory";"4"
"Costa Rica";"Ciudadanos";"electoral_authority_internal_governance";"CRC-LIP";"statutory";"4"
"Costa Rica";"TSE";"civil_registry_electoral_functions";"CRC-LIP";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"vote";"CRC-LIP";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"citizen_initiative";"CRC-LIP";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"legislative_petition_or_participation";"CRC-LIP";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"constitutional_remedies";"CRC-LJC";"statutory";"4"
"Costa Rica";"TSE";"constitutional_remedies";"CRC-LJC";"statutory";"4"
"Costa Rica";"TSE";"electoral_authority_internal_governance";"CRC-LJC";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"electoral_authority_internal_governance";"CRC-LJC";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"constitutional_remedies";"CRC-LJC";"statutory";"4"
"Costa Rica";"Corte_Suprema";"constitutional_remedies";"CRC-LJC";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"electoral_authority_internal_governance";"CRC-LJC";"statutory";"4"
"Costa Rica";"Corte_Suprema";"electoral_authority_internal_governance";"CRC-LJC";"statutory";"4"
"Costa Rica";"TSE";"electoral_remedies";"CRC-LJC";"statutory";"4"
"Costa Rica";"Corte_Suprema";"electoral_remedies";"CRC-LJC";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"legislative_petition_or_participation";"CRC-LJC";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"vote";"CRC-LJC";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"constitutional_remedies";"CRC-LJC";"statutory";"4"
"Costa Rica";"TSE";"electoral_authority_internal_governance";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Registro_Civil";"electoral_authority_internal_governance";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"TSE";"civil_registry_electoral_functions";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Registro_Civil";"civil_registry_electoral_functions";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"political_parties";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"TSE";"vote";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Registro_Civil";"vote";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"TSE";"electoral_remedies";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Registro_Civil";"electoral_remedies";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Sala_Constitucional";"constitutional_remedies";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Ciudadanos";"civil_registry_electoral_functions";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"electoral_remedies";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"electoral_authority_internal_governance";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"civil_registry_electoral_functions";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Juntas_Electorales";"vote";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Juntas_Electorales";"civil_registry_electoral_functions";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Ciudadanos";"electoral_authority_internal_governance";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Ciudadanos";"vote";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Ciudadanos";"electoral_remedies";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"vote";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Registro_Civil";"political_parties";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Ciudadanos";"political_parties";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"civil_registry_electoral_functions";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"vote";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"TSE";"political_parties";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"electoral_authority_internal_governance";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Juntas_Electorales";"political_parties";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Juntas_Electorales";"electoral_authority_internal_governance";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Partidos_Politicos";"right_to_stand_for_election";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"electoral_authority_internal_governance";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"civil_registry_electoral_functions";"CRC-LOTSRC";"statutory";"4"
"Costa Rica";"TSE";"referendum";"CRC-LREF";"statutory";"4"
"Costa Rica";"TSE";"electoral_authority_internal_governance";"CRC-LREF";"statutory";"4"
"Costa Rica";"Registro_Civil";"vote";"CRC-LREF";"statutory";"4"
"Costa Rica";"Asamblea_Legislativa";"vote";"CRC-LREF";"statutory";"4"
"Costa Rica";"Ciudadanos";"vote";"CRC-LREF";"statutory";"4"
"Costa Rica";"Poder_Ejecutivo";"vote";"CRC-LREF";"statutory";"4"
"Costa Rica";"Registro_Civil";"citizen_initiative";"CRC-LREF";"statutory";"4"
