"country","mechanism_id","mechanism_name","mechanism_category","node_count","edge_count","network_density","top_actor_id","top_actor_name","top_actor_degree","orchestrator_count","adjudicator_count","subordinate_count","statutory_edge_share","constitutional_edge_share","admin_edge_share","high_confidence_edge_share","low_confidence_edge_share","bottleneck_risk","implementation_readiness_score","notes"
"Costa Rica","CRC-MECH-CITIZEN_INIT","citizen_initiative","legislative","7","23","0.5476","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","7","1","1","1","0.7391","0.2609","0.0","0.0","0.0","low","4",""
"Costa Rica","CRC-MECH-CIVIL_REGIST","civil_registry_electoral_functions","registry","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","1.0","0.0","0.0","0.0","0.0","low","5",""
"Costa Rica","CRC-MECH-CONSTITUTION","constitutional_remedies","remedy","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","0.4103","0.5897","0.0","0.0","0.0","low","5",""
"Costa Rica","CRC-MECH-CONSULTATIVE","consultative_referendum_or_preliminary_consultation","participation","8","30","0.5357","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","8","1","1","1","0.7667","0.0","0.2333","0.0","0.2333","low","",""
"Costa Rica","CRC-MECH-ELECTORAL_AU","electoral_authority_internal_governance","governance","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","1.0","0.0","0.0","0.0","0.0","low","4",""
"Costa Rica","CRC-MECH-ELECTORAL_RE","electoral_remedies","remedy","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","1.0","0.0","0.0","0.0","0.0","low","5",""
"Costa Rica","CRC-MECH-LEGISLATIVE_","legislative_petition_or_participation","legislative","8","30","0.5357","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","8","1","1","1","0.3333","0.6667","0.0","0.0","0.0","low","4",""
"Costa Rica","CRC-MECH-POLITICAL_PA","political_parties","party_governance","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","1.0","0.0","0.0","0.0","0.0","low","4",""
"Costa Rica","CRC-MECH-REFERENDUM","referendum","participation","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","0.7949","0.2051","0.0","0.0","0.0","low","4",""
"Costa Rica","CRC-MECH-RIGHT_TO_STA","right_to_stand_for_election","candidacy","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","0.7692","0.2308","0.0","0.0","0.0","low","4",""
"Costa Rica","CRC-MECH-TRANSPARENCY","transparency_and_accountability","transparency","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","0.9744","0.0","0.0256","0.0","0.0256","low","4",""
"Costa Rica","CRC-MECH-VOTE","vote","participation","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","1.0","0.0","0.0","0.0","0.0","low","5",""
"Mexico","MEX-MECH-001","vote","participation","9","40","0.5556","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","10","1","1","1","0.75","0.0","0.25","0.0","0.7","low","5",""
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","9","40","0.5556","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","10","1","1","1","1.0","0.0","0.0","0.175","0.825","low","4",""
"Mexico","MEX-MECH-003","political_parties","party_governance","9","40","0.5556","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","10","1","1","1","0.925","0.0","0.075","0.25","0.65","low","4",""
"Mexico","MEX-MECH-004","independent_candidacies","candidacy","9","40","0.5556","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","10","1","1","1","1.0","0.0","0.0","0.05","0.95","low","5",""
"Mexico","MEX-MECH-005","citizen_initiative","legislative","8","32","0.5714","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","9","1","1","0","0.5938","0.4062","0.0","0.0","0.5312","low","4",""
"Mexico","MEX-MECH-006","popular_consultation","participation","8","31","0.5536","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","9","1","1","1","0.1935","0.2903","0.5161","0.5484","0.4516","low","5",""
"Mexico","MEX-MECH-007","recall","participation","8","31","0.5536","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","9","1","1","1","0.3226","0.4839","0.1935","0.1935","0.5161","low","5",""
"Mexico","MEX-MECH-008","electoral_remedies","remedy","9","40","0.5556","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","10","1","1","1","0.975","0.0","0.025","0.05","0.65","low","5",""
"Mexico","MEX-MECH-009","electoral_crimes","enforcement","9","40","0.5556","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","10","1","1","1","0.975","0.0","0.025","0.0","1.0","low","4",""
"Mexico","MEX-MECH-010","legislative_petition_or_participation","legislative","8","31","0.5536","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","9","1","1","1","0.6129","0.2903","0.0968","0.2581","0.7419","low","4",""
"Mexico","MEX-MECH-011","transparency_and_accountability","transparency","9","40","0.5556","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","10","1","1","1","0.85","0.0","0.15","0.3","0.7","low","4",""
"Mexico","MEX-MECH-012","administrative_responsibility","enforcement","9","40","0.5556","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","10","1","1","1","1.0","0.0","0.0","0.0","0.95","low","4",""
"Mexico","MEX-MECH-013","electoral_authority_internal_governance","governance","9","40","0.5556","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","10","1","1","1","0.75","0.0","0.25","0.2","0.5","low","4",""
