country;source_id;source_title;principle_id;principle_name;evidence_count;related_mechanisms;highest_anchor_strength;coverage_type;coverage_strength;manual_review_required;implication;notes
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-008;PRIN-008;27;electoral_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;5;Statutory;Strong;false;Contributes to PRIN-008 preparedness via 3 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-011;PRIN-011;27;electoral_authority_internal_governance|civil_registry_electoral_functions|transparency_and_accountability;5;Statutory;Strong;false;Contributes to PRIN-011 preparedness via 3 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-001;PRIN-001;67;vote|right_to_stand_for_election|political_parties|citizen_initiative|referendum|electoral_remedies|constitutional_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;5;Statutory;Strong;false;Contributes to PRIN-001 preparedness via 9 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-005;PRIN-005;10;right_to_stand_for_election|political_parties|citizen_initiative;5;Statutory;Strong;false;Contributes to PRIN-005 preparedness via 3 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-003;PRIN-003;48;vote|right_to_stand_for_election|citizen_initiative|referendum;5;Statutory;Strong;false;Contributes to PRIN-003 preparedness via 4 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-004;PRIN-004;57;vote|right_to_stand_for_election|citizen_initiative|referendum|legislative_petition_or_participation;5;Statutory;Strong;false;Contributes to PRIN-004 preparedness via 5 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-006;PRIN-006;23;electoral_remedies|constitutional_remedies|electoral_authority_internal_governance;5;Statutory;Strong;false;Contributes to PRIN-006 preparedness via 3 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-002;PRIN-002;56;vote|right_to_stand_for_election|political_parties|citizen_initiative|referendum|civil_registry_electoral_functions;5;Statutory;Strong;false;Contributes to PRIN-002 preparedness via 6 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-009;PRIN-009;48;vote|right_to_stand_for_election|citizen_initiative|referendum;5;Statutory;Strong;false;Contributes to PRIN-009 preparedness via 4 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-010;PRIN-010;63;vote|right_to_stand_for_election|electoral_authority_internal_governance|civil_registry_electoral_functions;5;Statutory;Strong;false;Contributes to PRIN-010 preparedness via 4 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-012;PRIN-012;50;vote|right_to_stand_for_election|political_parties|citizen_initiative|referendum;5;Statutory;Strong;false;Contributes to PRIN-012 preparedness via 5 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-007;PRIN-007;23;political_parties|electoral_authority_internal_governance|transparency_and_accountability;5;Statutory;Strong;false;Contributes to PRIN-007 preparedness via 3 mechanisms.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;PRIN-008;PRIN-008;97;electoral_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;4;Statutory;Strong;false;Contributes to PRIN-008 preparedness via 3 mechanisms.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;PRIN-011;PRIN-011;94;electoral_authority_internal_governance|civil_registry_electoral_functions;4;Statutory;Strong;false;Contributes to PRIN-011 preparedness via 2 mechanisms.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;PRIN-001;PRIN-001;104;vote|right_to_stand_for_election|political_parties|electoral_remedies|constitutional_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;4;Statutory;Strong;false;Contributes to PRIN-001 preparedness via 7 mechanisms.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;PRIN-006;PRIN-006;57;electoral_remedies|constitutional_remedies|electoral_authority_internal_governance;4;Statutory;Strong;false;Contributes to PRIN-006 preparedness via 3 mechanisms.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;PRIN-003;PRIN-003;38;vote|right_to_stand_for_election;4;Statutory;Strong;false;Contributes to PRIN-003 preparedness via 2 mechanisms.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;PRIN-004;PRIN-004;38;vote|right_to_stand_for_election;4;Statutory;Strong;false;Contributes to PRIN-004 preparedness via 2 mechanisms.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;PRIN-005;PRIN-005;8;right_to_stand_for_election|political_parties;4;Statutory;Strong;false;Contributes to PRIN-005 preparedness via 2 mechanisms.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;PRIN-002;PRIN-002;99;vote|right_to_stand_for_election|political_parties|civil_registry_electoral_functions;4;Statutory;Strong;false;Contributes to PRIN-002 preparedness via 4 mechanisms.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;PRIN-009;PRIN-009;38;vote|right_to_stand_for_election;4;Statutory;Strong;false;Contributes to PRIN-009 preparedness via 2 mechanisms.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;PRIN-010;PRIN-010;97;vote|right_to_stand_for_election|electoral_authority_internal_governance|civil_registry_electoral_functions;4;Statutory;Strong;false;Contributes to PRIN-010 preparedness via 4 mechanisms.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;PRIN-012;PRIN-012;41;vote|right_to_stand_for_election|political_parties;4;Statutory;Strong;false;Contributes to PRIN-012 preparedness via 3 mechanisms.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;PRIN-007;PRIN-007;56;political_parties|electoral_authority_internal_governance;4;Statutory;Strong;false;Contributes to PRIN-007 preparedness via 2 mechanisms.;
Costa Rica;CRC-CE;CRC-CE;PRIN-008;PRIN-008;153;electoral_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;4;Statutory;Strong;false;Contributes to PRIN-008 preparedness via 3 mechanisms.;
Costa Rica;CRC-CE;CRC-CE;PRIN-011;PRIN-011;152;electoral_authority_internal_governance|civil_registry_electoral_functions|transparency_and_accountability;4;Statutory;Strong;false;Contributes to PRIN-011 preparedness via 3 mechanisms.;
Costa Rica;CRC-CE;CRC-CE;PRIN-001;PRIN-001;255;vote|right_to_stand_for_election|political_parties|referendum|electoral_remedies|constitutional_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;4;Statutory;Strong;false;Contributes to PRIN-001 preparedness via 8 mechanisms.;
Costa Rica;CRC-CE;CRC-CE;PRIN-006;PRIN-006;144;electoral_remedies|constitutional_remedies|electoral_authority_internal_governance;4;Statutory;Strong;false;Contributes to PRIN-006 preparedness via 3 mechanisms.;
Costa Rica;CRC-CE;CRC-CE;PRIN-003;PRIN-003;113;vote|right_to_stand_for_election|referendum;4;Statutory;Strong;false;Contributes to PRIN-003 preparedness via 3 mechanisms.;
Costa Rica;CRC-CE;CRC-CE;PRIN-004;PRIN-004;113;vote|right_to_stand_for_election|referendum|legislative_petition_or_participation;4;Statutory;Strong;false;Contributes to PRIN-004 preparedness via 4 mechanisms.;
Costa Rica;CRC-CE;CRC-CE;PRIN-005;PRIN-005;145;right_to_stand_for_election|political_parties;4;Statutory;Strong;false;Contributes to PRIN-005 preparedness via 2 mechanisms.;
Costa Rica;CRC-CE;CRC-CE;PRIN-002;PRIN-002;216;vote|right_to_stand_for_election|political_parties|referendum|civil_registry_electoral_functions;4;Statutory;Strong;false;Contributes to PRIN-002 preparedness via 5 mechanisms.;
Costa Rica;CRC-CE;CRC-CE;PRIN-009;PRIN-009;113;vote|right_to_stand_for_election|referendum;4;Statutory;Strong;false;Contributes to PRIN-009 preparedness via 3 mechanisms.;
Costa Rica;CRC-CE;CRC-CE;PRIN-010;PRIN-010;180;vote|right_to_stand_for_election|electoral_authority_internal_governance|civil_registry_electoral_functions;4;Statutory;Strong;false;Contributes to PRIN-010 preparedness via 4 mechanisms.;
Costa Rica;CRC-CE;CRC-CE;PRIN-012;PRIN-012;214;vote|right_to_stand_for_election|political_parties|referendum;4;Statutory;Strong;false;Contributes to PRIN-012 preparedness via 4 mechanisms.;
Costa Rica;CRC-CE;CRC-CE;PRIN-007;PRIN-007;211;political_parties|electoral_authority_internal_governance|transparency_and_accountability;4;Statutory;Strong;false;Contributes to PRIN-007 preparedness via 3 mechanisms.;
Costa Rica;CRC-LREF;CRC-LREF;PRIN-008;PRIN-008;24;electoral_authority_internal_governance|civil_registry_electoral_functions;4;Administrative;Strong;false;Contributes to PRIN-008 preparedness via 2 mechanisms.;
Costa Rica;CRC-LREF;CRC-LREF;PRIN-011;PRIN-011;24;electoral_authority_internal_governance|civil_registry_electoral_functions;4;Administrative;Strong;false;Contributes to PRIN-011 preparedness via 2 mechanisms.;
Costa Rica;CRC-LREF;CRC-LREF;PRIN-001;PRIN-001;32;vote|right_to_stand_for_election|citizen_initiative|referendum|electoral_authority_internal_governance|civil_registry_electoral_functions;4;Administrative;Strong;false;Contributes to PRIN-001 preparedness via 6 mechanisms.;
Costa Rica;CRC-LREF;CRC-LREF;PRIN-005;PRIN-005;5;right_to_stand_for_election|citizen_initiative;4;Administrative;Strong;false;Contributes to PRIN-005 preparedness via 2 mechanisms.;
Costa Rica;CRC-LREF;CRC-LREF;PRIN-003;PRIN-003;30;vote|right_to_stand_for_election|citizen_initiative|referendum;4;Administrative;Strong;false;Contributes to PRIN-003 preparedness via 4 mechanisms.;
Costa Rica;CRC-LREF;CRC-LREF;PRIN-004;PRIN-004;30;vote|right_to_stand_for_election|citizen_initiative|referendum|legislative_petition_or_participation;4;Administrative;Strong;false;Contributes to PRIN-004 preparedness via 5 mechanisms.;
Costa Rica;CRC-LREF;CRC-LREF;PRIN-006;PRIN-006;21;electoral_authority_internal_governance;4;Administrative;Strong;false;Contributes to PRIN-006 preparedness via 1 mechanisms.;
Costa Rica;CRC-LREF;CRC-LREF;PRIN-002;PRIN-002;30;vote|right_to_stand_for_election|citizen_initiative|referendum|civil_registry_electoral_functions;4;Administrative;Strong;false;Contributes to PRIN-002 preparedness via 5 mechanisms.;
Costa Rica;CRC-LREF;CRC-LREF;PRIN-009;PRIN-009;30;vote|right_to_stand_for_election|citizen_initiative|referendum;4;Administrative;Strong;false;Contributes to PRIN-009 preparedness via 4 mechanisms.;
Costa Rica;CRC-LREF;CRC-LREF;PRIN-010;PRIN-010;27;vote|right_to_stand_for_election|electoral_authority_internal_governance|civil_registry_electoral_functions;4;Administrative;Strong;false;Contributes to PRIN-010 preparedness via 4 mechanisms.;
Costa Rica;CRC-LREF;CRC-LREF;PRIN-012;PRIN-012;30;vote|right_to_stand_for_election|citizen_initiative|referendum;4;Administrative;Strong;false;Contributes to PRIN-012 preparedness via 4 mechanisms.;
Costa Rica;CRC-LREF;CRC-LREF;PRIN-007;PRIN-007;21;electoral_authority_internal_governance;4;Administrative;Strong;false;Contributes to PRIN-007 preparedness via 1 mechanisms.;
Costa Rica;CRC-LIP;CRC-LIP;PRIN-008;PRIN-008;4;electoral_authority_internal_governance|civil_registry_electoral_functions;4;Administrative;Strong;false;Contributes to PRIN-008 preparedness via 2 mechanisms.;
Costa Rica;CRC-LIP;CRC-LIP;PRIN-011;PRIN-011;4;electoral_authority_internal_governance|civil_registry_electoral_functions;4;Administrative;Strong;false;Contributes to PRIN-011 preparedness via 2 mechanisms.;
Costa Rica;CRC-LIP;CRC-LIP;PRIN-001;PRIN-001;6;vote|citizen_initiative|electoral_authority_internal_governance|civil_registry_electoral_functions;4;Administrative;Strong;false;Contributes to PRIN-001 preparedness via 4 mechanisms.;
Costa Rica;CRC-LIP;CRC-LIP;PRIN-005;PRIN-005;5;citizen_initiative;4;Administrative;Strong;false;Contributes to PRIN-005 preparedness via 1 mechanisms.;
Costa Rica;CRC-LIP;CRC-LIP;PRIN-003;PRIN-003;5;vote|citizen_initiative;4;Administrative;Strong;false;Contributes to PRIN-003 preparedness via 2 mechanisms.;
Costa Rica;CRC-LIP;CRC-LIP;PRIN-004;PRIN-004;5;vote|citizen_initiative|legislative_petition_or_participation;4;Administrative;Strong;false;Contributes to PRIN-004 preparedness via 3 mechanisms.;
Costa Rica;CRC-LIP;CRC-LIP;PRIN-006;PRIN-006;3;electoral_authority_internal_governance;4;Administrative;Strong;false;Contributes to PRIN-006 preparedness via 1 mechanisms.;
Costa Rica;CRC-LIP;CRC-LIP;PRIN-002;PRIN-002;5;vote|citizen_initiative|civil_registry_electoral_functions;4;Administrative;Strong;false;Contributes to PRIN-002 preparedness via 3 mechanisms.;
Costa Rica;CRC-LIP;CRC-LIP;PRIN-009;PRIN-009;5;vote|citizen_initiative;4;Administrative;Strong;false;Contributes to PRIN-009 preparedness via 2 mechanisms.;
Costa Rica;CRC-LIP;CRC-LIP;PRIN-010;PRIN-010;5;vote|electoral_authority_internal_governance|civil_registry_electoral_functions;4;Administrative;Strong;false;Contributes to PRIN-010 preparedness via 3 mechanisms.;
Costa Rica;CRC-LIP;CRC-LIP;PRIN-012;PRIN-012;5;vote|citizen_initiative;4;Administrative;Strong;false;Contributes to PRIN-012 preparedness via 2 mechanisms.;
Costa Rica;CRC-LIP;CRC-LIP;PRIN-007;PRIN-007;3;electoral_authority_internal_governance;4;Administrative;Strong;false;Contributes to PRIN-007 preparedness via 1 mechanisms.;
Costa Rica;CRC-LJC;CRC-LJC;PRIN-008;PRIN-008;6;electoral_remedies|electoral_authority_internal_governance;4;Administrative;Strong;false;Contributes to PRIN-008 preparedness via 2 mechanisms.;
Costa Rica;CRC-LJC;CRC-LJC;PRIN-011;PRIN-011;6;electoral_authority_internal_governance;4;Administrative;Strong;false;Contributes to PRIN-011 preparedness via 1 mechanisms.;
Costa Rica;CRC-LJC;CRC-LJC;PRIN-001;PRIN-001;69;vote|electoral_remedies|constitutional_remedies|electoral_authority_internal_governance;4;Administrative;Strong;false;Contributes to PRIN-001 preparedness via 4 mechanisms.;
