country;source_id;source_title;principle_id;principle_name;evidence_count;related_mechanisms;highest_anchor_strength;coverage_type;coverage_strength;manual_review_required;implication;notes
Costa Rica;CRC-LJC;CRC-LJC;PRIN-006;PRIN-006;67;electoral_remedies|constitutional_remedies|electoral_authority_internal_governance;4;Administrative;Strong;false;Contributes to PRIN-006 preparedness via 3 mechanisms.;
Costa Rica;CRC-LJC;CRC-LJC;PRIN-003;PRIN-003;2;vote;4;Administrative;Strong;false;Contributes to PRIN-003 preparedness via 1 mechanisms.;
Costa Rica;CRC-LJC;CRC-LJC;PRIN-004;PRIN-004;4;vote|legislative_petition_or_participation;4;Administrative;Strong;false;Contributes to PRIN-004 preparedness via 2 mechanisms.;
Costa Rica;CRC-LJC;CRC-LJC;PRIN-002;PRIN-002;2;vote;4;Administrative;Strong;false;Contributes to PRIN-002 preparedness via 1 mechanisms.;
Costa Rica;CRC-LJC;CRC-LJC;PRIN-009;PRIN-009;2;vote;4;Administrative;Strong;false;Contributes to PRIN-009 preparedness via 1 mechanisms.;
Costa Rica;CRC-LJC;CRC-LJC;PRIN-010;PRIN-010;8;vote|electoral_authority_internal_governance;4;Administrative;Strong;false;Contributes to PRIN-010 preparedness via 2 mechanisms.;
Costa Rica;CRC-LJC;CRC-LJC;PRIN-012;PRIN-012;2;vote;4;Administrative;Strong;false;Contributes to PRIN-012 preparedness via 1 mechanisms.;
Costa Rica;CRC-LJC;CRC-LJC;PRIN-007;PRIN-007;6;electoral_authority_internal_governance;4;Administrative;Strong;false;Contributes to PRIN-007 preparedness via 1 mechanisms.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;PRIN-008;PRIN-008;4;electoral_authority_internal_governance|civil_registry_electoral_functions;4;Administrative;Strong;true;Contributes to PRIN-008 preparedness via 2 mechanisms.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;PRIN-011;PRIN-011;4;electoral_authority_internal_governance|civil_registry_electoral_functions;4;Administrative;Strong;true;Contributes to PRIN-011 preparedness via 2 mechanisms.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;PRIN-001;PRIN-001;4;vote|citizen_initiative|referendum|constitutional_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;4;Administrative;Strong;true;Contributes to PRIN-001 preparedness via 6 mechanisms.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;PRIN-005;PRIN-005;2;citizen_initiative;4;Administrative;Strong;true;Contributes to PRIN-005 preparedness via 1 mechanisms.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;PRIN-003;PRIN-003;4;vote|citizen_initiative|referendum;4;Administrative;Strong;true;Contributes to PRIN-003 preparedness via 3 mechanisms.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;PRIN-004;PRIN-004;4;vote|citizen_initiative|referendum|legislative_petition_or_participation;4;Administrative;Strong;true;Contributes to PRIN-004 preparedness via 4 mechanisms.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;PRIN-006;PRIN-006;4;constitutional_remedies|electoral_authority_internal_governance;4;Administrative;Strong;true;Contributes to PRIN-006 preparedness via 2 mechanisms.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;PRIN-002;PRIN-002;4;vote|citizen_initiative|referendum|civil_registry_electoral_functions;4;Administrative;Strong;true;Contributes to PRIN-002 preparedness via 4 mechanisms.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;PRIN-009;PRIN-009;4;vote|citizen_initiative|referendum;4;Administrative;Strong;true;Contributes to PRIN-009 preparedness via 3 mechanisms.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;PRIN-010;PRIN-010;4;vote|electoral_authority_internal_governance|civil_registry_electoral_functions;4;Administrative;Strong;true;Contributes to PRIN-010 preparedness via 3 mechanisms.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;PRIN-012;PRIN-012;4;vote|citizen_initiative|referendum;4;Administrative;Strong;true;Contributes to PRIN-012 preparedness via 3 mechanisms.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;PRIN-007;PRIN-007;4;electoral_authority_internal_governance;4;Administrative;Strong;true;Contributes to PRIN-007 preparedness via 1 mechanisms.;
Costa Rica;CRC-REGREF;CRC-REGREF;PRIN-008;PRIN-008;20;electoral_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;3;Administrative;Moderate;false;Contributes to PRIN-008 preparedness via 3 mechanisms.;
Costa Rica;CRC-REGREF;CRC-REGREF;PRIN-011;PRIN-011;20;electoral_authority_internal_governance|civil_registry_electoral_functions|transparency_and_accountability;3;Administrative;Moderate;false;Contributes to PRIN-011 preparedness via 3 mechanisms.;
Costa Rica;CRC-REGREF;CRC-REGREF;PRIN-001;PRIN-001;35;vote|referendum|electoral_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;3;Administrative;Moderate;false;Contributes to PRIN-001 preparedness via 5 mechanisms.;
Costa Rica;CRC-REGREF;CRC-REGREF;PRIN-006;PRIN-006;16;electoral_remedies|electoral_authority_internal_governance;3;Administrative;Moderate;false;Contributes to PRIN-006 preparedness via 2 mechanisms.;
Costa Rica;CRC-REGREF;CRC-REGREF;PRIN-003;PRIN-003;33;vote|referendum;3;Administrative;Moderate;false;Contributes to PRIN-003 preparedness via 2 mechanisms.;
Costa Rica;CRC-REGREF;CRC-REGREF;PRIN-004;PRIN-004;33;vote|referendum|legislative_petition_or_participation;3;Administrative;Moderate;false;Contributes to PRIN-004 preparedness via 3 mechanisms.;
Costa Rica;CRC-REGREF;CRC-REGREF;PRIN-002;PRIN-002;33;vote|referendum|civil_registry_electoral_functions;3;Administrative;Moderate;false;Contributes to PRIN-002 preparedness via 3 mechanisms.;
Costa Rica;CRC-REGREF;CRC-REGREF;PRIN-009;PRIN-009;33;vote|referendum;3;Administrative;Moderate;false;Contributes to PRIN-009 preparedness via 2 mechanisms.;
Costa Rica;CRC-REGREF;CRC-REGREF;PRIN-010;PRIN-010;28;vote|electoral_authority_internal_governance|civil_registry_electoral_functions;3;Administrative;Moderate;false;Contributes to PRIN-010 preparedness via 3 mechanisms.;
Costa Rica;CRC-REGREF;CRC-REGREF;PRIN-012;PRIN-012;33;vote|referendum;3;Administrative;Moderate;false;Contributes to PRIN-012 preparedness via 2 mechanisms.;
Costa Rica;CRC-REGREF;CRC-REGREF;PRIN-007;PRIN-007;16;electoral_authority_internal_governance|transparency_and_accountability;3;Administrative;Moderate;false;Contributes to PRIN-007 preparedness via 2 mechanisms.;
Costa Rica;CRC-REGIP;CRC-REGIP;PRIN-008;PRIN-008;6;electoral_authority_internal_governance|civil_registry_electoral_functions;3;Administrative;Moderate;false;Contributes to PRIN-008 preparedness via 2 mechanisms.;
Costa Rica;CRC-REGIP;CRC-REGIP;PRIN-011;PRIN-011;6;electoral_authority_internal_governance|civil_registry_electoral_functions;3;Administrative;Moderate;false;Contributes to PRIN-011 preparedness via 2 mechanisms.;
Costa Rica;CRC-REGIP;CRC-REGIP;PRIN-001;PRIN-001;9;vote|citizen_initiative|electoral_authority_internal_governance|civil_registry_electoral_functions;3;Administrative;Moderate;false;Contributes to PRIN-001 preparedness via 4 mechanisms.;
Costa Rica;CRC-REGIP;CRC-REGIP;PRIN-005;PRIN-005;7;citizen_initiative;3;Administrative;Moderate;false;Contributes to PRIN-005 preparedness via 1 mechanisms.;
Costa Rica;CRC-REGIP;CRC-REGIP;PRIN-003;PRIN-003;8;vote|citizen_initiative;3;Administrative;Moderate;false;Contributes to PRIN-003 preparedness via 2 mechanisms.;
Costa Rica;CRC-REGIP;CRC-REGIP;PRIN-004;PRIN-004;8;vote|citizen_initiative|legislative_petition_or_participation;3;Administrative;Moderate;false;Contributes to PRIN-004 preparedness via 3 mechanisms.;
Costa Rica;CRC-REGIP;CRC-REGIP;PRIN-006;PRIN-006;3;electoral_authority_internal_governance;3;Administrative;Moderate;false;Contributes to PRIN-006 preparedness via 1 mechanisms.;
Costa Rica;CRC-REGIP;CRC-REGIP;PRIN-002;PRIN-002;8;vote|citizen_initiative|civil_registry_electoral_functions;3;Administrative;Moderate;false;Contributes to PRIN-002 preparedness via 3 mechanisms.;
Costa Rica;CRC-REGIP;CRC-REGIP;PRIN-009;PRIN-009;8;vote|citizen_initiative;3;Administrative;Moderate;false;Contributes to PRIN-009 preparedness via 2 mechanisms.;
Costa Rica;CRC-REGIP;CRC-REGIP;PRIN-010;PRIN-010;6;vote|electoral_authority_internal_governance|civil_registry_electoral_functions;3;Administrative;Moderate;false;Contributes to PRIN-010 preparedness via 3 mechanisms.;
Costa Rica;CRC-REGIP;CRC-REGIP;PRIN-012;PRIN-012;8;vote|citizen_initiative;3;Administrative;Moderate;false;Contributes to PRIN-012 preparedness via 2 mechanisms.;
Costa Rica;CRC-REGIP;CRC-REGIP;PRIN-007;PRIN-007;3;electoral_authority_internal_governance;3;Administrative;Moderate;false;Contributes to PRIN-007 preparedness via 1 mechanisms.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;PRIN-008;PRIN-008;83;electoral_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;1;Administrative;Moderate;true;Contributes to PRIN-008 preparedness via 3 mechanisms.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;PRIN-011;PRIN-011;83;electoral_authority_internal_governance|civil_registry_electoral_functions;1;Administrative;Moderate;true;Contributes to PRIN-011 preparedness via 2 mechanisms.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;PRIN-001;PRIN-001;83;right_to_stand_for_election|political_parties|referendum|electoral_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;1;Administrative;Moderate;true;Contributes to PRIN-001 preparedness via 6 mechanisms.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;PRIN-006;PRIN-006;78;electoral_remedies|electoral_authority_internal_governance;1;Administrative;Moderate;true;Contributes to PRIN-006 preparedness via 2 mechanisms.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;PRIN-003;PRIN-003;2;right_to_stand_for_election|referendum;1;Administrative;Moderate;true;Contributes to PRIN-003 preparedness via 2 mechanisms.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;PRIN-004;PRIN-004;2;right_to_stand_for_election|referendum;1;Administrative;Moderate;true;Contributes to PRIN-004 preparedness via 2 mechanisms.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;PRIN-005;PRIN-005;2;right_to_stand_for_election|political_parties;1;Administrative;Moderate;true;Contributes to PRIN-005 preparedness via 2 mechanisms.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;PRIN-002;PRIN-002;9;right_to_stand_for_election|political_parties|referendum|civil_registry_electoral_functions;1;Administrative;Moderate;true;Contributes to PRIN-002 preparedness via 4 mechanisms.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;PRIN-009;PRIN-009;2;right_to_stand_for_election|referendum;1;Administrative;Moderate;true;Contributes to PRIN-009 preparedness via 2 mechanisms.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;PRIN-010;PRIN-010;83;right_to_stand_for_election|electoral_authority_internal_governance|civil_registry_electoral_functions;1;Administrative;Moderate;true;Contributes to PRIN-010 preparedness via 3 mechanisms.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;PRIN-012;PRIN-012;2;right_to_stand_for_election|political_parties|referendum;1;Administrative;Moderate;true;Contributes to PRIN-012 preparedness via 3 mechanisms.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;PRIN-007;PRIN-007;78;political_parties|electoral_authority_internal_governance;1;Administrative;Moderate;true;Contributes to PRIN-007 preparedness via 2 mechanisms.;
Costa Rica;CRC-RAL;CRC-RAL;PRIN-008;PRIN-008;49;electoral_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;2;Administrative;Moderate;true;Contributes to PRIN-008 preparedness via 3 mechanisms.;
Costa Rica;CRC-RAL;CRC-RAL;PRIN-011;PRIN-011;62;electoral_authority_internal_governance|civil_registry_electoral_functions|transparency_and_accountability;2;Administrative;Moderate;true;Contributes to PRIN-011 preparedness via 3 mechanisms.;
Costa Rica;CRC-RAL;CRC-RAL;PRIN-001;PRIN-001;229;vote|right_to_stand_for_election|political_parties|citizen_initiative|referendum|electoral_remedies|constitutional_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;2;Administrative;Moderate;true;Contributes to PRIN-001 preparedness via 9 mechanisms.;
Costa Rica;CRC-RAL;CRC-RAL;PRIN-005;PRIN-005;74;right_to_stand_for_election|political_parties|citizen_initiative;2;Administrative;Moderate;true;Contributes to PRIN-005 preparedness via 3 mechanisms.;
Costa Rica;CRC-RAL;CRC-RAL;PRIN-003;PRIN-003;187;vote|right_to_stand_for_election|citizen_initiative|referendum;2;Administrative;Moderate;true;Contributes to PRIN-003 preparedness via 4 mechanisms.;
Costa Rica;CRC-RAL;CRC-RAL;PRIN-004;PRIN-004;233;vote|right_to_stand_for_election|citizen_initiative|referendum|legislative_petition_or_participation;2;Administrative;Moderate;true;Contributes to PRIN-004 preparedness via 5 mechanisms.;
Costa Rica;CRC-RAL;CRC-RAL;PRIN-006;PRIN-006;96;electoral_remedies|constitutional_remedies|electoral_authority_internal_governance;2;Administrative;Moderate;true;Contributes to PRIN-006 preparedness via 3 mechanisms.;
Costa Rica;CRC-RAL;CRC-RAL;PRIN-002;PRIN-002;201;vote|right_to_stand_for_election|political_parties|citizen_initiative|referendum|civil_registry_electoral_functions;2;Administrative;Moderate;true;Contributes to PRIN-002 preparedness via 6 mechanisms.;
Costa Rica;CRC-RAL;CRC-RAL;PRIN-009;PRIN-009;187;vote|right_to_stand_for_election|citizen_initiative|referendum;2;Administrative;Moderate;true;Contributes to PRIN-009 preparedness via 4 mechanisms.;
Costa Rica;CRC-RAL;CRC-RAL;PRIN-010;PRIN-010;197;vote|right_to_stand_for_election|electoral_authority_internal_governance|civil_registry_electoral_functions;2;Administrative;Moderate;true;Contributes to PRIN-010 preparedness via 4 mechanisms.;
Costa Rica;CRC-RAL;CRC-RAL;PRIN-012;PRIN-012;195;vote|right_to_stand_for_election|political_parties|citizen_initiative|referendum;2;Administrative;Moderate;true;Contributes to PRIN-012 preparedness via 5 mechanisms.;
Costa Rica;CRC-RAL;CRC-RAL;PRIN-007;PRIN-007;64;political_parties|electoral_authority_internal_governance|transparency_and_accountability;2;Administrative;Moderate;true;Contributes to PRIN-007 preparedness via 3 mechanisms.;
