"comparison_id";"principle_id";"mechanism_id";"mexico_score";"mexico_label";"costa_rica_score";"costa_rica_label";"score_delta";"convergence_level";"gap_severity_mexico";"gap_severity_costa_rica";"notes"
"CMP-PRIN-001-citizen_initiative";"PRIN-001";"citizen_initiative";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-001-civil_registry_elect";"PRIN-001";"civil_registry_electoral_functions";"0";"absent";"5";"integrated_basis";"-5";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-001-constitutional_remed";"PRIN-001";"constitutional_remedies";"0";"absent";"5";"integrated_basis";"-5";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-001-electoral_authority_";"PRIN-001";"electoral_authority_internal_governance";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-001-electoral_remedies";"PRIN-001";"electoral_remedies";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-001-independent_candidac";"PRIN-001";"independent_candidacies";"5";"integrated_basis";"0";"absent";"5";"highly_divergent";"none";"critical";"CRC:mechanism_not_in_corpus"
"CMP-PRIN-001-political_parties";"PRIN-001";"political_parties";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-001-popular_consultation";"PRIN-001";"popular_consultation";"5";"integrated_basis";"0";"absent";"5";"highly_divergent";"none";"critical";"CRC:mechanism_not_in_corpus"
"CMP-PRIN-001-recall";"PRIN-001";"recall";"5";"integrated_basis";"0";"absent";"5";"highly_divergent";"none";"critical";"CRC:mechanism_not_in_corpus"
"CMP-PRIN-001-referendum";"PRIN-001";"referendum";"0";"absent";"5";"integrated_basis";"-5";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-001-right_to_stand_for_e";"PRIN-001";"right_to_stand_for_election";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-001-vote";"PRIN-001";"vote";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-002-citizen_initiative";"PRIN-002";"citizen_initiative";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-002-civil_registry_elect";"PRIN-002";"civil_registry_electoral_functions";"0";"absent";"5";"integrated_basis";"-5";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-002-political_parties";"PRIN-002";"political_parties";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-002-popular_consultation";"PRIN-002";"popular_consultation";"4";"strong_basis";"0";"absent";"4";"highly_divergent";"none";"critical";"CRC:mechanism_not_in_corpus"
"CMP-PRIN-002-referendum";"PRIN-002";"referendum";"0";"absent";"4";"strong_basis";"-4";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-002-right_to_stand_for_e";"PRIN-002";"right_to_stand_for_election";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-002-vote";"PRIN-002";"vote";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-003-citizen_initiative";"PRIN-003";"citizen_initiative";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-003-popular_consultation";"PRIN-003";"popular_consultation";"4";"strong_basis";"0";"absent";"4";"highly_divergent";"none";"critical";"CRC:mechanism_not_in_corpus"
"CMP-PRIN-003-referendum";"PRIN-003";"referendum";"0";"absent";"4";"strong_basis";"-4";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-003-right_to_stand_for_e";"PRIN-003";"right_to_stand_for_election";"3";"functional_basis";"4";"strong_basis";"-1";"aligned";"moderate";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-003-vote";"PRIN-003";"vote";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-004-citizen_initiative";"PRIN-004";"citizen_initiative";"5";"integrated_basis";"4";"strong_basis";"1";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-004-legislative_petition";"PRIN-004";"legislative_petition_or_participation";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-004-popular_consultation";"PRIN-004";"popular_consultation";"5";"integrated_basis";"0";"absent";"5";"highly_divergent";"none";"critical";"CRC:mechanism_not_in_corpus"
"CMP-PRIN-004-referendum";"PRIN-004";"referendum";"0";"absent";"5";"integrated_basis";"-5";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-004-right_to_stand_for_e";"PRIN-004";"right_to_stand_for_election";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-004-vote";"PRIN-004";"vote";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-005-citizen_initiative";"PRIN-005";"citizen_initiative";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-005-independent_candidac";"PRIN-005";"independent_candidacies";"5";"integrated_basis";"0";"absent";"5";"highly_divergent";"none";"critical";"CRC:mechanism_not_in_corpus"
"CMP-PRIN-005-political_parties";"PRIN-005";"political_parties";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-005-right_to_stand_for_e";"PRIN-005";"right_to_stand_for_election";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-006-administrative_respo";"PRIN-006";"administrative_responsibility";"4";"strong_basis";"0";"absent";"4";"highly_divergent";"none";"critical";"CRC:mechanism_not_in_corpus"
"CMP-PRIN-006-constitutional_remed";"PRIN-006";"constitutional_remedies";"0";"absent";"5";"integrated_basis";"-5";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-006-electoral_authority_";"PRIN-006";"electoral_authority_internal_governance";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-006-electoral_crimes";"PRIN-006";"electoral_crimes";"4";"strong_basis";"0";"absent";"4";"highly_divergent";"none";"critical";"CRC:mechanism_not_in_corpus"
"CMP-PRIN-006-electoral_remedies";"PRIN-006";"electoral_remedies";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-007-electoral_authority_";"PRIN-007";"electoral_authority_internal_governance";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-007-political_parties";"PRIN-007";"political_parties";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-007-transparency_and_acc";"PRIN-007";"transparency_and_accountability";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-008-civil_registry_elect";"PRIN-008";"civil_registry_electoral_functions";"0";"absent";"5";"integrated_basis";"-5";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-008-electoral_authority_";"PRIN-008";"electoral_authority_internal_governance";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-008-electoral_remedies";"PRIN-008";"electoral_remedies";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-009-citizen_initiative";"PRIN-009";"citizen_initiative";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-009-popular_consultation";"PRIN-009";"popular_consultation";"5";"integrated_basis";"0";"absent";"5";"highly_divergent";"none";"critical";"CRC:mechanism_not_in_corpus"
"CMP-PRIN-009-recall";"PRIN-009";"recall";"5";"integrated_basis";"0";"absent";"5";"highly_divergent";"none";"critical";"CRC:mechanism_not_in_corpus"
"CMP-PRIN-009-referendum";"PRIN-009";"referendum";"0";"absent";"5";"integrated_basis";"-5";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-009-right_to_stand_for_e";"PRIN-009";"right_to_stand_for_election";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-009-vote";"PRIN-009";"vote";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-010-civil_registry_elect";"PRIN-010";"civil_registry_electoral_functions";"0";"absent";"5";"integrated_basis";"-5";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-010-electoral_authority_";"PRIN-010";"electoral_authority_internal_governance";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-010-right_to_stand_for_e";"PRIN-010";"right_to_stand_for_election";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-010-vote";"PRIN-010";"vote";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-011-civil_registry_elect";"PRIN-011";"civil_registry_electoral_functions";"0";"absent";"5";"integrated_basis";"-5";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-011-electoral_authority_";"PRIN-011";"electoral_authority_internal_governance";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-011-transparency_and_acc";"PRIN-011";"transparency_and_accountability";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-012-citizen_initiative";"PRIN-012";"citizen_initiative";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-012-political_parties";"PRIN-012";"political_parties";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-012-recall";"PRIN-012";"recall";"5";"integrated_basis";"0";"absent";"5";"highly_divergent";"none";"critical";"CRC:mechanism_not_in_corpus"
"CMP-PRIN-012-referendum";"PRIN-012";"referendum";"0";"absent";"4";"strong_basis";"-4";"highly_divergent";"critical";"none";"MEX:mechanism_not_in_corpus|CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-012-right_to_stand_for_e";"PRIN-012";"right_to_stand_for_election";"4";"strong_basis";"4";"strong_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
"CMP-PRIN-012-vote";"PRIN-012";"vote";"5";"integrated_basis";"5";"integrated_basis";"0";"aligned";"none";"none";"CRC:includes_ral_commentary_risk|CRC_RAL_caveat"
